Employee Code,Employee Name,Trade,Org,Qualification,Qualification Start,Expiration,Temp Disqualified,Qualification Desc,Class
EMP_0001,Employee EMP_0001,EAS,ATR,BNCE.1.S,2024-03-29 00:00:00.0,2025-01-29 00:00:00.0,-,Characters Bounce: General Rides/Attractions Operations – Skilled,SKILL
EMP_0001,Employee EMP_0001,EAS,ATR,BNCE.2.AX.S,2024-04-11 00:00:00.0,2034-04-11 00:00:00.0,-,Bounce: Assistants Support Ride - Skilled,SKILL
ENG_M2_06,Employee ENG_M2_06,EL,ATR,CCTV.5.S,2025-07-28 00:00:00.0,2028-07-28 00:00:00.0,-,CCTV: Reactive - Skilled,SKILL
EMP_0002,Employee EMP_0002,AD,ATR,NOVA.BRC,2025-03-21 00:00:00.0,2028-03-21 00:00:00.0,-,Nova: Block Reset Controller,SKILL
EMP_0002,Employee EMP_0002,AD,ATR,NOVA.BRC.DSP,2025-03-21 00:00:00.0,2028-03-21 00:00:00.0,-,Nova: Block Reset Controller Diesel Procedure ,SKILL
EMP_0002,Employee EMP_0002,AD,ATR,APEX.BRC,2025-03-21 00:00:00.0,2028-03-21 00:00:00.0,-,Attraction: Block Reset Controller,SKILL
EMP_0002,Employee EMP_0002,AD,ATR,BLTZ.BRC,2025-03-21 00:00:00.0,2028-03-21 00:00:00.0,-,Blitz: Block Reset Controller,SKILL
ENG_E2_05,Employee ENG_E2_05,RT,ATR,VRTX.3.WM.R.S,2025-08-16 00:00:00.0,2026-08-16 00:00:00.0,-,VORTEX: Weekly Mechanical Ride - Skilled,SKILL
EMP_0003,Employee EMP_0003,EL,ATR,DRMS.2.DM.S,2023-08-24 00:00:00.0,2024-08-24 00:00:00.0,-,DRMS: Daily Mechanical Ride - Skilled,SKILL
EMP_0004,Employee EMP_0004,EL,ATR,NOVA.3.WE.T.S,2023-11-01 00:00:00.0,2024-11-01 00:00:00.0,-,NOVACTICA: 3 Weekly Electrical Train - Skilled,SKILL
EMP_0005,Employee EMP_0005,RT,ATR,SWNG.3.WM.S,2025-05-08 00:00:00.0,2028-05-08 00:00:00.0,-,SWINGSHIP: Weekly Mechanical Ride - Skilled,SKILL
EMP_0006,Employee EMP_0006,EL,ATR,PPAT.5.S,2025-05-24 00:00:00.0,2028-05-24 00:00:00.0,-,POSTMAN PAT: Reactive - Skilled,SKILL
ENG_E1_10,Employee ENG_E1_10,EL,ATR,BLTZ.4.ME.OXY.S,2025-04-04 00:00:00.0,2026-04-04 00:00:00.0,-,BLTZ: Monthly Electrical Oxygen - Skilled,SKILL
EMP_0007,Employee EMP_0007,EL,ATR,PA.5.S,2022-09-22 00:00:00.0,2025-09-22 00:00:00.0,-,PA: Fault Reactive - Skilled,SKILL
ENG_M1_03,Employee ENG_M1_03,RT,ATR,PPAT.2.DM.S,2024-12-07 00:00:00.0,2027-12-07 00:00:00.0,-,POSTMAN PAT: Daily Mechanical Ride - Skilled,SKILL
ENG_E2_02,Employee ENG_E2_02,RT,ATR,RPDS.3.WM.R.S,2025-06-02 00:00:00.0,2027-06-02 00:00:00.0,-,RIVER RAPIDS: Weekly Mechanical Ride - Skilled,SKILL
EMP_0008,Employee EMP_0008,RT,ATR,NOVA.2.DE.R.S,2025-03-21 00:00:00.0,2037-03-21 00:00:00.0,-,NOVACTICA: Daily Electrical Ride - Skilled,SKILL
ENG_M1_09,Employee ENG_M1_09,RT,ATR,PPAT.5.S,2025-03-31 00:00:00.0,2028-03-31 00:00:00.0,-,POSTMAN PAT: Reactive - Skilled,SKILL
EMP_0003,Employee EMP_0003,EL,ATR,APEX.2.DE.R.S,2023-08-24 00:00:00.0,2024-08-24 00:00:00.0,-,APEX DROP: Daily Electrical Ride - Skilled,SKILL
EMP_0009,Employee EMP_0009,RT,ATR,CCTV.5.S,2023-10-19 00:00:00.0,2026-10-19 00:00:00.0,-,CCTV: Reactive - Skilled,SKILL
EMP_0010,Employee EMP_0010,EL,ATR,DEEP.3.WM.S,2023-09-28 00:00:00.0,2024-09-28 00:00:00.0,-,DESCENT: Weekly Mechanical Ride - Skilled,SKILL
EMP_0010,Employee EMP_0010,EL,ATR,DEEP.4.WM.S,2023-04-19 00:00:00.0,2024-04-19 00:00:00.0,-,DESCENT: Monthly Mechanical Ride - Skilled,SKILL
EMP_0011,Employee EMP_0011,RT,ATR,DEEP.1.S,2023-04-19 00:00:00.0,2028-04-19 00:00:00.0,-,DESCENT: General Ride/Attraction Operations - Skilled,SKILL
EMP_0011,Employee EMP_0011,RT,ATR,DEEP.4.WM.S,2023-04-19 00:00:00.0,2024-04-19 00:00:00.0,-,DESCENT: Monthly Mechanical Ride - Skilled,SKILL
EMP_0011,Employee EMP_0011,RT,ATR,DEEP.5.S,2025-08-14 00:00:00.0,2027-02-14 00:00:00.0,-,DESCENT: Reactive - Skilled,SKILL
EMP_0006,Employee EMP_0006,EL,ATR,KART.4.ME.C.S,2023-12-02 00:00:00.0,2026-12-02 00:00:00.0,-,GO KARTS: Monthly Electrical Car - Skilled,SKILL
EMP_0012,Employee EMP_0012,RT,ATR,RACE.2.DM.S,2024-06-28 00:00:00.0,2026-06-28 00:00:00.0,-,RACEWAY: Daily Mechanical Ride - Skilled,SKILL
EMP_0013,Employee EMP_0013,EL,ATR,RUSH.1.S,2023-05-07 00:00:00.0,2033-05-07 00:00:00.0,-,RUSH: General Ride/Attraction Operations - Skilled,SKILL
EMP_0013,Employee EMP_0013,EL,ATR,DEEP.5.S,2025-07-17 00:00:00.0,2027-01-17 00:00:00.0,-,DESCENT: Reactive - Skilled,SKILL
EMP_0011,Employee EMP_0011,RT,ATR,DEEP.2.DM.S,2025-07-14 00:00:00.0,2026-07-14 00:00:00.0,-,DESCENT: Daily Mechanical Ride - Skilled,SKILL
EMP_0010,Employee EMP_0010,EL,ATR,DEEP.E.1D.R.02,2025-08-20 00:00:00.0,2026-08-20 00:00:00.0,-,FURYSIS SUB TERRA: Electrical Ride Daily,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,APEX.4.MM.T.S,2020-07-28 00:00:00.0,2021-07-28 00:00:00.0,-,APEX DROP: Monthly Mechanical Train - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,APEX.5.S,2022-07-19 00:00:00.0,2024-01-19 00:00:00.0,-,APEX DROP: Reactive - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,PPAT.5.S,2021-05-10 00:00:00.0,2024-05-10 00:00:00.0,-,POSTMAN PAT: Reactive - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,BNCE.3.WM.S,2022-04-17 00:00:00.0,2025-04-17 00:00:00.0,-,Characters Bounce: Weekly Mechanical Ride,SKILL
